State,Crop,Season,Rainfall,Area,Production,Yield
Gujarat,Cotton,Kharif,975.4,864.4,2170.4,2.51
Karnataka,Mustard,Rabi,400.1,3289.4,5300.8,1.61
Rajasthan,Wheat,Rabi,702.7,134.6,804.5,5.98
Tripura,Rice,Kharif,1372.3,328.7,1823.8,5.55
West Bengal,Maize,Kharif,691.2,3433.5,16995.9,4.95
Himachal Pradesh,Groundnut,Kharif,505.3,2860.1,6260.0,2.19
Uttar Pradesh,Barley,Rabi,304.8,3089.0,8337.1,2.7
Haryana,Maize,Kharif,954.7,3346.4,11788.1,3.52
Arunachal Pradesh,Soybean,Kharif,683.2,4640.6,8880.2,1.91
Meghalaya,Mustard,Rabi,471.1,4809.7,8433.2,1.75
Rajasthan,Wheat,Rabi,638.9,1452.4,8158.9,5.62
Manipur,Rice,Kharif,914.1,2034.9,9045.0,4.44
Haryana,Mustard,Rabi,304.2,3069.2,4177.3,1.36
Jharkhand,Groundnut,Kharif,760.4,4265.2,11618.6,2.72
Kerala,Wheat,Rabi,483.4,2997.4,14210.3,4.74
Sikkim,Maize,Kharif,736.1,3594.9,15132.4,4.21
Andhra Pradesh,Sugarcane,Kharif,1317.4,2195.0,229372.4,104.5
Jharkhand,Maize,Kharif,515.7,1640.3,6103.6,3.72
Bihar,Sugarcane,Kharif,974.2,477.2,41781.8,87.56
Uttarakhand,Maize,Kharif,580.6,4059.8,18388.6,4.53
Tripura,Sugarcane,Kharif,1658.6,4490.8,425657.0,94.78
Gujarat,Rice,Kharif,1144.9,102.5,558.1,5.44
Madhya Pradesh,Barley,Rabi,391.4,3492.9,10454.5,2.99
Jharkhand,Mustard,Rabi,582.9,2642.1,4076.8,1.54
Himachal Pradesh,Cotton,Kharif,681.8,1495.7,4691.1,3.14
Mizoram,Rice,Kharif,1779.0,261.9,1153.6,4.4
Andhra Pradesh,Rice,Kharif,1115.6,1286.1,6122.1,4.76
Bihar,Groundnut,Kharif,804.6,3668.3,8000.9,2.18
Telangana,Sugarcane,Kharif,1395.5,4193.0,399887.0,95.37
West Bengal,Soybean,Kharif,878.3,1697.2,3892.2,2.29
Bihar,Maize,Kharif,855.6,4708.6,21459.7,4.56
Haryana,Groundnut,Kharif,874.7,1771.2,3316.6,1.87
Tripura,Wheat,Rabi,773.6,4104.4,21335.5,5.2
Tripura,Cotton,Kharif,764.8,556.2,1514.5,2.72
Kerala,Sugarcane,Kharif,1690.5,3657.2,313852.4,85.82
Assam,Cotton,Kharif,943.5,3246.0,8625.3,2.66
Karnataka,Rice,Kharif,1045.5,124.8,680.9,5.46
